congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,dim1,dim2,log_likelihood,geo_mean_probability,number_of_votes,number_of_errors,conditional
112,President,99911,99,0,USA,100,0,0,"OBAMA, Barack",O000167,1961,,-0.354,-0.203,-50.85915,0.83,273,21,
112,House,20300,41,1,AL,200,0,1,"BONNER, Jr., Josiah Robins (Jo)",B001244,1959,,0.367,0.513,-146.62502,0.9,1390,57,
112,House,20301,41,3,AL,200,0,1,"ROGERS, Mike Dennis",R000575,1958,,0.335,0.437,-153.34043,0.89791,1424,63,1.0
112,House,21102,41,7,AL,100,0,1,"SEWELL, Terri",S001185,1965,,-0.393,0.413,-259.45762,0.83028,1395,98,1.0
112,House,21192,41,2,AL,200,0,1,"ROBY, Martha",R000591,1976,,0.36,0.661,-149.48075,0.90048,1426,60,1.0
112,House,21193,41,5,AL,200,0,1,"BROOKS, Mo",B001274,1954,,0.595,-0.402,-231.92762,0.85019,1429,101,1.0
112,House,29301,41,6,AL,200,0,1,"BACHUS, Spencer T., III",B000013,1947,,0.387,0.228,-182.54918,0.876,1382,78,
112,House,29701,41,4,AL,200,0,1,"ADERHOLT, Robert",A000055,1965,,0.36,0.589,-180.49635,0.88087,1423,76,1.0
112,House,14066,81,1,AK,200,0,1,"YOUNG, Donald Edwin",Y000033,1933,,0.278,0.005,-372.2551,0.74662,1274,153,1.0
112,House,20100,61,6,AZ,200,0,1,"FLAKE, Jeff",F000444,1962,,0.855,-0.518,-192.73056,0.8707,1392,71,1.0
112,House,20304,61,2,AZ,200,0,1,"FRANKS, Trent",F000448,1957,,0.75,0.093,-198.35583,0.86929,1416,84,1.0
112,House,20305,61,7,AZ,100,0,1,"GRIJALVA, Raúl M.",G000551,1948,,-0.596,-0.251,-171.12927,0.88393,1387,69,1.0
112,House,20701,61,8,AZ,100,1,1,"GIFFORDS, Gabrielle",G000554,1970,,-0.11,0.076,,,,,
112,House,21103,61,1,AZ,200,0,1,"GOSAR, Paul",G000565,1958,,0.602,-0.312,-232.60471,0.84447,1376,107,1.0
112,House,21104,61,3,AZ,200,0,1,"QUAYLE, Ben",Q000024,1976,,0.712,0.222,-154.5331,0.893,1371,74,
112,House,21105,61,5,AZ,200,0,1,"SCHWEIKERT, David",S001183,1962,,0.639,-0.323,-182.87998,0.8794,1423,70,1.0
112,House,21199,61,8,AZ,100,2,2,"BARBER, Ron",B001279,1945,,-0.123,0.001,-73.55459,0.727,231,26,
112,House,29101,61,4,AZ,100,0,1,"PASTOR, Ed",P000099,1943,,-0.421,0.12,-300.85852,0.808,1412,152,
112,House,20102,42,4,AR,100,0,1,"ROSS, Michael Avery",R000573,1961,,-0.201,0.89,-422.32622,0.738,1387,192,
112,House,21106,42,1,AR,200,0,1,"CRAWFORD, Rick",C001087,1966,,0.357,0.504,-125.80914,0.9155,1425,52,1.0
112,House,21107,42,2,AR,200,0,1,"GRIFFIN, Tim",G000567,1968,,0.41,0.421,-162.76919,0.892,1423,74,
112,House,21108,42,3,AR,200,0,1,"WOMACK, Steve",W000809,1957,,0.329,0.596,-124.78368,0.91666,1434,53,1.0
112,House,14053,71,13,CA,100,0,1,"STARK, Fortney Hillman (Pete), Jr.",S000810,1931,,-0.631,-0.605,-160.84025,0.888,1354,69,
112,House,14256,71,7,CA,100,0,1,"MILLER, George",M000725,1945,,-0.552,-0.398,-201.30439,0.864,1377,90,
112,House,14280,71,30,CA,100,0,1,"WAXMAN, Henry Arnold",W000215,1939,,-0.473,-0.343,-174.19722,0.883,1401,66,
112,House,14644,71,41,CA,200,0,1,"LEWIS, Charles Jeremy (Jerry)",L000274,1934,,0.348,-0.101,-186.97801,0.861,1246,66,
112,House,14647,71,3,CA,200,0,1,"LUNGREN, Daniel Edward",L000517,1946,,0.497,-0.054,-260.3908,0.833,1424,122,
112,House,14813,71,26,CA,200,0,1,"DREIER, David Timothy",D000492,1952,,0.478,-0.084,-248.0076,0.839,1417,112,
112,House,15005,71,28,CA,100,0,1,"BERMAN, Howard Lawrence",B000410,1941,,-0.404,-0.286,-217.35245,0.851,1352,92,
112,House,15413,71,24,CA,200,0,1,"GALLEGLY, Elton W.",G000021,1944,,0.402,-0.1,-194.95235,0.864,1333,74,
112,House,15420,71,2,CA,200,0,1,"HERGER, Walter William (Wally)",H000528,1945,,0.551,0.117,-136.48577,0.905,1374,52,
112,House,15448,71,8,CA,100,0,1,"PELOSI, Nancy",P000197,1940,,-0.493,-0.204,-160.99569,0.88615,1332,72,1.0
112,House,15621,71,46,CA,200,0,1,"ROHRABACHER, Dana",R000409,1947,,0.628,-0.4,-294.91117,0.81103,1408,126,1.0
112,House,20103,71,15,CA,100,0,1,"HONDA, Mike",H001034,1941,,-0.529,-0.482,-158.77275,0.89,1361,66,
112,House,20104,71,29,CA,100,0,1,"SCHIFF, Adam",S001150,1960,,-0.346,-0.131,-188.72246,0.87644,1431,71,1.0
112,House,20107,71,49,CA,200,0,1,"ISSA, Darrell",I000056,1953,,0.509,-0.077,-161.77532,0.89117,1404,54,1.0
112,House,20108,71,53,CA,100,0,1,"DAVIS, Susan A.",D000598,1944,,-0.345,-0.093,-197.17602,0.87052,1422,77,1.0
112,House,20306,71,18,CA,100,0,1,"CARDOZA, Dennis A.",C001050,1959,,-0.262,0.609,-479.67818,0.651,1119,236,
112,House,20307,71,21,CA,200,0,1,"NUNES, Devin",N000181,1973,,0.453,0.18,-165.29645,0.8896,1413,73,1.0
112,House,20310,71,39,CA,100,0,1,"SÁNCHEZ, Linda T.",S001156,1969,,-0.505,-0.166,-160.67315,0.88645,1333,62,1.0
112,House,20501,71,20,CA,100,0,1,"COSTA, Jim",C001059,1952,,-0.185,0.468,-604.70212,0.64335,1371,299,1.0
